# ACTS Test Suite Generation: Mon May 25 14:07:04 EEST 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 29
# Number of configurations: 754
mei_type,R_device_id,object_id
13,0,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
13,12,0
13,13,0
13,14,0
13,15,0
13,16,0
13,32,0
13,64,0
13,65,0
13,125,0
13,126,0
13,127,0
13,128,0
13,254,0
13,255,0
13,0,1
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,1
13,11,1
13,12,1
13,13,1
13,14,1
13,15,1
13,16,1
13,32,1
13,64,1
13,65,1
13,125,1
13,126,1
13,127,1
13,128,1
13,254,1
13,255,1
13,0,2
13,1,2
13,2,2
13,3,2
13,4,2
13,5,2
13,6,2
13,7,2
13,8,2
13,9,2
13,10,2
13,11,2
13,12,2
13,13,2
13,14,2
13,15,2
13,16,2
13,32,2
13,64,2
13,65,2
13,125,2
13,126,2
13,127,2
13,128,2
13,254,2
13,255,2
13,0,3
13,1,3
13,2,3
13,3,3
13,4,3
13,5,3
13,6,3
13,7,3
13,8,3
13,9,3
13,10,3
13,11,3
13,12,3
13,13,3
13,14,3
13,15,3
13,16,3
13,32,3
13,64,3
13,65,3
13,125,3
13,126,3
13,127,3
13,128,3
13,254,3
13,255,3
13,0,4
13,1,4
13,2,4
13,3,4
13,4,4
13,5,4
13,6,4
13,7,4
13,8,4
13,9,4
13,10,4
13,11,4
13,12,4
13,13,4
13,14,4
13,15,4
13,16,4
13,32,4
13,64,4
13,65,4
13,125,4
13,126,4
13,127,4
13,128,4
13,254,4
13,255,4
13,0,5
13,1,5
13,2,5
13,3,5
13,4,5
13,5,5
13,6,5
13,7,5
13,8,5
13,9,5
13,10,5
13,11,5
13,12,5
13,13,5
13,14,5
13,15,5
13,16,5
13,32,5
13,64,5
13,65,5
13,125,5
13,126,5
13,127,5
13,128,5
13,254,5
13,255,5
13,0,6
13,1,6
13,2,6
13,3,6
13,4,6
13,5,6
13,6,6
13,7,6
13,8,6
13,9,6
13,10,6
13,11,6
13,12,6
13,13,6
13,14,6
13,15,6
13,16,6
13,32,6
13,64,6
13,65,6
13,125,6
13,126,6
13,127,6
13,128,6
13,254,6
13,255,6
13,0,7
13,1,7
13,2,7
13,3,7
13,4,7
13,5,7
13,6,7
13,7,7
13,8,7
13,9,7
13,10,7
13,11,7
13,12,7
13,13,7
13,14,7
13,15,7
13,16,7
13,32,7
13,64,7
13,65,7
13,125,7
13,126,7
13,127,7
13,128,7
13,254,7
13,255,7
13,0,8
13,1,8
13,2,8
13,3,8
13,4,8
13,5,8
13,6,8
13,7,8
13,8,8
13,9,8
13,10,8
13,11,8
13,12,8
13,13,8
13,14,8
13,15,8
13,16,8
13,32,8
13,64,8
13,65,8
13,125,8
13,126,8
13,127,8
13,128,8
13,254,8
13,255,8
13,0,9
13,1,9
13,2,9
13,3,9
13,4,9
13,5,9
13,6,9
13,7,9
13,8,9
13,9,9
13,10,9
13,11,9
13,12,9
13,13,9
13,14,9
13,15,9
13,16,9
13,32,9
13,64,9
13,65,9
13,125,9
13,126,9
13,127,9
13,128,9
13,254,9
13,255,9
13,0,10
13,1,10
13,2,10
13,3,10
13,4,10
13,5,10
13,6,10
13,7,10
13,8,10
13,9,10
13,10,10
13,11,10
13,12,10
13,13,10
13,14,10
13,15,10
13,16,10
13,32,10
13,64,10
13,65,10
13,125,10
13,126,10
13,127,10
13,128,10
13,254,10
13,255,10
13,0,11
13,1,11
13,2,11
13,3,11
13,4,11
13,5,11
13,6,11
13,7,11
13,8,11
13,9,11
13,10,11
13,11,11
13,12,11
13,13,11
13,14,11
13,15,11
13,16,11
13,32,11
13,64,11
13,65,11
13,125,11
13,126,11
13,127,11
13,128,11
13,254,11
13,255,11
13,0,12
13,1,12
13,2,12
13,3,12
13,4,12
13,5,12
13,6,12
13,7,12
13,8,12
13,9,12
13,10,12
13,11,12
13,12,12
13,13,12
13,14,12
13,15,12
13,16,12
13,32,12
13,64,12
13,65,12
13,125,12
13,126,12
13,127,12
13,128,12
13,254,12
13,255,12
13,0,13
13,1,13
13,2,13
13,3,13
13,4,13
13,5,13
13,6,13
13,7,13
13,8,13
13,9,13
13,10,13
13,11,13
13,12,13
13,13,13
13,14,13
13,15,13
13,16,13
13,32,13
13,64,13
13,65,13
13,125,13
13,126,13
13,127,13
13,128,13
13,254,13
13,255,13
13,0,14
13,1,14
13,2,14
13,3,14
13,4,14
13,5,14
13,6,14
13,7,14
13,8,14
13,9,14
13,10,14
13,11,14
13,12,14
13,13,14
13,14,14
13,15,14
13,16,14
13,32,14
13,64,14
13,65,14
13,125,14
13,126,14
13,127,14
13,128,14
13,254,14
13,255,14
13,0,15
13,1,15
13,2,15
13,3,15
13,4,15
13,5,15
13,6,15
13,7,15
13,8,15
13,9,15
13,10,15
13,11,15
13,12,15
13,13,15
13,14,15
13,15,15
13,16,15
13,32,15
13,64,15
13,65,15
13,125,15
13,126,15
13,127,15
13,128,15
13,254,15
13,255,15
13,0,16
13,1,16
13,2,16
13,3,16
13,4,16
13,5,16
13,6,16
13,7,16
13,8,16
13,9,16
13,10,16
13,11,16
13,12,16
13,13,16
13,14,16
13,15,16
13,16,16
13,32,16
13,64,16
13,65,16
13,125,16
13,126,16
13,127,16
13,128,16
13,254,16
13,255,16
13,0,17
13,1,17
13,2,17
13,3,17
13,4,17
13,5,17
13,6,17
13,7,17
13,8,17
13,9,17
13,10,17
13,11,17
13,12,17
13,13,17
13,14,17
13,15,17
13,16,17
13,32,17
13,64,17
13,65,17
13,125,17
13,126,17
13,127,17
13,128,17
13,254,17
13,255,17
13,0,32
13,1,32
13,2,32
13,3,32
13,4,32
13,5,32
13,6,32
13,7,32
13,8,32
13,9,32
13,10,32
13,11,32
13,12,32
13,13,32
13,14,32
13,15,32
13,16,32
13,32,32
13,64,32
13,65,32
13,125,32
13,126,32
13,127,32
13,128,32
13,254,32
13,255,32
13,0,64
13,1,64
13,2,64
13,3,64
13,4,64
13,5,64
13,6,64
13,7,64
13,8,64
13,9,64
13,10,64
13,11,64
13,12,64
13,13,64
13,14,64
13,15,64
13,16,64
13,32,64
13,64,64
13,65,64
13,125,64
13,126,64
13,127,64
13,128,64
13,254,64
13,255,64
13,0,65
13,1,65
13,2,65
13,3,65
13,4,65
13,5,65
13,6,65
13,7,65
13,8,65
13,9,65
13,10,65
13,11,65
13,12,65
13,13,65
13,14,65
13,15,65
13,16,65
13,32,65
13,64,65
13,65,65
13,125,65
13,126,65
13,127,65
13,128,65
13,254,65
13,255,65
13,0,66
13,1,66
13,2,66
13,3,66
13,4,66
13,5,66
13,6,66
13,7,66
13,8,66
13,9,66
13,10,66
13,11,66
13,12,66
13,13,66
13,14,66
13,15,66
13,16,66
13,32,66
13,64,66
13,65,66
13,125,66
13,126,66
13,127,66
13,128,66
13,254,66
13,255,66
13,0,125
13,1,125
13,2,125
13,3,125
13,4,125
13,5,125
13,6,125
13,7,125
13,8,125
13,9,125
13,10,125
13,11,125
13,12,125
13,13,125
13,14,125
13,15,125
13,16,125
13,32,125
13,64,125
13,65,125
13,125,125
13,126,125
13,127,125
13,128,125
