# ACTS Test Suite Generation: Thu Jul 01 10:43:55 EEST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 132
# Number of configurations: 13376
quan,byte_count,Out_value
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,10
0,7,16
0,8,32
0,9,64
0,10,125
0,15,126
0,16,127
0,17,128
0,31,129
0,32,130
0,33,131
0,63,250
0,64,251
0,65,252
0,127,253
0,128,254
0,129,255
0,130,256
0,131,257
0,132,258
0,251,259
0,252,507
0,253,508
0,254,509
0,255,510
0,1,511
0,2,512
0,3,513
0,4,514
0,5,515
0,6,1000
0,7,1021
0,8,1022
0,9,1023
0,10,1024
0,15,1025
0,16,1026
0,17,1027
0,31,1028
0,32,1436
0,33,1437
0,63,1438
0,64,1439
0,65,1440
0,127,1441
0,128,1442
0,129,1443
0,130,1444
0,131,2040
0,132,2041
0,251,2042
0,252,2043
0,253,2044
0,254,2045
0,255,2046
0,1,2047
0,2,2048
0,3,2049
0,4,2050
0,5,2051
0,6,4091
0,7,4092
0,8,4093
0,9,4094
0,10,4095
0,15,4096
0,16,4097
0,17,4098
0,31,4099
0,32,4100
0,33,5000
0,63,8190
0,64,8191
0,65,8192
0,127,8193
0,128,8194
0,129,10000
0,130,16381
0,131,16382
0,132,16383
0,251,16384
0,252,16385
0,253,16386
0,254,16387
0,255,16388
0,1,20000
0,2,32763
0,3,32764
0,4,32765
0,5,32766
0,6,32767
0,7,32768
0,8,32769
0,9,32770
0,10,32771
0,15,32772
0,16,32773
1,0,1
1,17,2
1,31,3
1,32,4
1,33,5
1,63,10
1,64,16
1,65,32
1,127,64
1,128,125
1,129,126
1,130,127
1,131,128
1,132,129
1,251,130
1,252,131
1,253,250
1,254,251
1,255,252
1,2,253
1,3,254
1,4,255
1,5,256
1,6,257
1,7,258
1,8,259
1,9,507
1,10,508
1,15,509
1,16,510
1,0,511
1,0,512
1,0,513
1,17,514
1,31,515
1,32,1000
1,33,1021
1,63,1022
1,64,1023
1,65,1024
1,127,1025
1,128,1026
1,129,1027
1,130,1028
1,131,1436
1,132,1437
1,251,1438
1,252,1439
1,253,1440
1,254,1441
1,255,1442
1,0,1443
1,2,1444
1,3,2040
1,4,2041
