# ACTS Test Suite Generation: Thu Nov 04 11:35:24 EET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 6
# Maximum number of values per parameter: 183
# Number of configurations: 7267
Data_length,Reference_Type,File_number,Record_number,Record_length,Record_data
1,1,1,0,1,1
2,2,2,1,2,1
3,3,3,2,3,1
4,4,4,3,4,1
5,5,5,4,5,1
6,6,7,5,7,1
7,7,8,7,8,1
8,8,9,8,9,1
9,9,10,9,15,1
10,10,11,15,16,1
11,11,12,16,17,1
12,12,13,17,31,1
13,13,14,31,32,1
14,14,15,32,33,1
15,15,16,33,63,1
16,16,17,63,64,1
17,17,31,64,65,1
18,18,32,65,116,1
19,19,33,127,117,1
20,20,63,128,118,1
21,21,64,129,119,1
27,27,65,255,120,1
28,28,127,256,121,1
29,29,128,257,122,1
30,30,129,511,123,1
31,31,255,512,124,1
32,32,256,513,125,1
33,33,257,1023,126,1
34,34,511,1024,127,1
35,35,512,1025,128,1
36,36,513,2047,129,1
37,37,1023,2048,255,1
59,59,1024,2049,256,1
60,60,1025,4095,257,1
61,61,2047,4096,511,1
62,62,2048,4097,512,1
63,63,2049,8191,513,1
64,64,4095,8192,1023,1
65,65,4096,8193,1024,1
66,66,4097,9993,1025,1
67,67,8191,9994,2047,1
68,68,8192,9995,2048,1
69,69,8193,9996,2049,1
123,123,10000,9997,4095,1
124,124,16383,9998,4096,1
125,125,16384,9999,4097,1
126,126,16385,10000,8191,1
127,127,32767,10001,8192,1
128,128,32768,10002,8193,1
129,129,32769,10003,16383,1
130,130,65471,10004,16384,1
131,131,65472,16383,16385,1
132,132,65473,16384,32767,1
133,133,65503,16385,32768,1
251,251,65504,32767,32769,1
252,252,65505,32768,65471,1
253,253,65519,32769,65472,1
254,254,65520,65471,65473,1
255,255,65521,65472,65503,1
0,0,65527,65473,65504,1
1,2,65528,65503,65505,1
2,3,65529,65504,65519,1
3,4,65530,65505,65520,1
4,5,65531,65519,65521,1
5,6,65532,65520,65527,1
6,7,65533,65521,65528,1
7,8,65534,65527,65529,1
8,9,65535,65528,65530,1
9,10,0,65529,65531,1
10,11,1,65530,65532,1
11,12,2,65531,65533,1
12,13,3,65532,65534,1
13,14,4,65533,65535,1
14,15,5,65534,0,1
15,16,7,65535,1,1
16,17,8,0,2,3
17,18,9,1,3,3
18,19,10,2,4,3
19,20,11,3,5,3
20,21,12,4,7,3
21,27,13,5,8,3
27,28,14,7,9,3
28,29,15,8,15,3
29,30,16,9,16,3
30,31,17,15,17,3
31,32,31,16,31,3
32,33,32,17,32,3
33,34,33,31,33,3
34,35,63,32,63,3
35,36,64,33,64,3
36,37,65,63,65,3
37,59,127,64,116,3
59,60,128,65,117,3
60,61,129,127,118,3
61,62,255,128,119,3
62,63,256,129,120,3
63,64,257,255,121,3
64,65,511,256,122,3
65,66,512,257,123,3
66,67,513,511,124,3
67,68,1023,512,125,3
68,69,1024,513,126,3
69,123,1025,1023,127,3
123,124,2047,1024,128,3
124,125,2048,1025,129,3
125,126,2049,2047,255,3
126,127,4095,2048,256,3
127,128,4096,2049,257,3
128,129,4097,4095,511,3
129,130,8191,4096,512,3
130,131,8192,4097,513,3
131,132,8193,8191,1023,3
132,133,10000,8192,1024,3
133,251,16383,8193,1025,3
251,252,16384,9993,2047,3
252,253,16385,9994,2048,3
253,254,32767,9995,2049,3
254,255,32768,9996,4095,3
255,0,32769,9997,4096,3
0,1,65471,9998,4097,3
1,3,65472,9999,8191,3
2,4,65473,10000,8192,3
3,5,65503,10001,8193,3
4,6,65504,10002,16383,3
5,7,65505,10003,16384,3
6,8,65519,10004,16385,3
7,9,65520,16383,32767,3
8,10,65521,16384,32768,3
9,11,65527,16385,32769,3
10,12,65528,32767,65471,3
11,13,65529,32768,65472,3
12,14,65530,32769,65473,3
13,15,65531,65471,65503,3
14,16,65532,65472,65504,3
15,17,65533,65473,65505,3
16,18,65534,65503,65519,3
17,2,65535,65504,65520,3
18,20,0,65505,65521,3
19,21,1,65519,65527,3
20,27,2,65520,65528,3
21,28,3,65521,65529,3
27,29,4,65527,65530,3
28,30,5,65528,65531,3
29,31,7,65529,65532,3
30,32,8,65530,65533,3
31,33,9,65531,65534,3
32,34,10,65532,65535,3
33,35,11,65533,0,3
34,36,12,65534,1,3
35,37,13,65535,2,3
36,59,14,0,3,5
37,60,15,1,4,5
59,61,16,2,5,5
60,62,17,3,7,5
61,63,31,4,8,5
62,64,32,5,9,5
63,65,33,7,15,5
64,66,63,8,16,5
65,67,64,9,17,5
66,68,65,15,31,5
67,69,127,16,32,5
68,123,128,17,33,5
69,124,129,31,63,5
123,125,255,32,64,5
124,126,256,33,65,5
125,127,257,63,116,5
126,128,511,64,117,5
127,129,512,65,118,5
128,130,513,127,119,5
129,131,1023,128,120,5
130,132,1024,129,121,5
131,133,1025,255,122,5
132,251,2047,256,123,5
133,252,2048,257,124,5
251,253,2049,511,125,5
252,254,4095,512,126,5
253,255,4096,513,127,5
254,0,4097,1023,128,5
255,1,8191,1024,129,5
