[System]
-- specify system name
Name: f21

[Parameter]
-- general syntax is parameter_name : value1, value2, ...
Data_length (int) : 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 251, 252, 253, 254, 255
Reference_Type (int) : 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 251, 252, 253, 254, 255
File_number (int) : 0, 1, 2, 3, 4, 5, 7, 8, 9, 15, 16, 17, 31, 32, 33, 63, 64, 65, 127, 128, 129, 255, 256, 257, 511, 512, 513, 1023, 1024, 1025, 2047, 2048, 2049, 4095, 4096, 4097, 8191, 8192, 8193, 9993, 9994, 9995, 9996, 9997, 9998, 9999, 10000, 10001, 10002, 10003, 10004, 16383, 16384, 16385, 32767, 32768, 32769, 65471, 65472, 65473, 65503, 65504, 65505, 65519, 65520, 65521, 65527, 65528, 65529, 65530, 65531, 65532, 65533, 65534, 65535
Record_number (int) : 0, 1, 2, 3, 4, 5, 7, 8, 9, 15, 16, 17, 31, 32, 33, 63, 64, 65, 127, 128, 129, 255, 256, 257, 511, 512, 513, 1023, 1024, 1025, 2047, 2048, 2049, 4095, 4096, 4097, 8191, 8192, 8193, 9993, 9994, 9995, 9996, 9997, 9998, 9999, 10000, 10001, 10002, 10003, 10004, 16383, 16384, 16385, 32767, 32768, 32769, 65471, 65472, 65473, 65503, 65504, 65505, 65519, 65520, 65521, 65527, 65528, 65529, 65530, 65531, 65532, 65533, 65534, 65535
Record_length (int) : 0, 1, 2, 3, 4, 5, 7, 8, 9, 15, 16, 17, 31, 32, 33, 63, 64, 65, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 255, 256, 257, 511, 512, 513, 1023, 1024, 1025, 2047, 2048, 2049, 4095, 4096, 4097, 8191, 8192, 8193, 16383, 16384, 16385, 32767, 32768, 32769, 65471, 65472, 65473, 65503, 65504, 65505, 65519, 65520, 65521, 65527, 65528, 65529, 65530, 65531, 65532, 65533, 65534, 65535
Record_data (int) : 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 507, 508, 509, 510, 511, 512, 513, 514, 515, 516, 517, 1019, 1020, 1021, 1022, 1023, 1024, 1025, 1026, 1027, 1028, 1029, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1448, 1449, 1450, 1451, 1452, 1453, 1454, 1455, 1456, 1457, 1458, 1459, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050, 2051, 2052, 2053, 4091, 4092, 4093, 4094, 4095, 4096, 4097, 4098, 4099, 4100, 4101, 5000, 8187, 8188, 8189, 8190, 8191, 8192, 8193, 8194, 8195, 8196, 8197, 10000, 16379, 16380, 16381, 16382, 16383, 16384, 16385, 16386, 16387, 16388, 16389, 20000, 32763, 32764, 32765, 32766, 32767, 32768, 32769, 32770, 32771, 32772, 32773, 65533, 65534, 65535, 65536, 65537

[Relation]
-- this section is optional
-- general format Rx : (p1, p2, ..., pk, Strength)

[Constraint]
-- this section is also optional
Record_data!=2*Record_length
Record_data%2!=0

[Test Set]
-- set existing test set for extend mode. this is also optional
-- * represents don't-care value
Data_length,Reference_Type,File_number,Record_number,Record_length,Record_data
1,1,0,1,1,1
2,2,1,2,2,1
3,3,2,3,3,1
4,4,3,4,4,1
5,5,4,5,5,1
6,6,5,7,7,1
7,7,7,8,8,1
8,8,8,9,9,1
9,9,9,15,15,1
10,10,15,16,16,1
11,11,16,17,17,1
12,12,17,31,31,1
13,13,31,32,32,1
14,14,32,33,33,1
15,15,33,63,63,1
16,16,63,64,64,1
17,17,64,65,65,1
18,18,65,127,116,1
19,19,127,128,117,1
20,20,128,129,118,1
21,21,129,255,119,1
27,27,255,256,120,1
28,28,256,257,121,1
29,29,257,511,122,1
30,30,511,512,123,1
31,31,512,513,124,1
32,32,513,1023,125,1
33,33,1023,1024,126,1
34,34,1024,1025,127,1
35,35,1025,2047,128,1
36,36,2047,2048,129,1
37,37,2048,2049,255,1
59,59,2049,4095,256,1
60,60,4095,4096,257,1
61,61,4096,4097,511,1
62,62,4097,8191,512,1
63,63,8191,8192,513,1
64,64,8192,8193,1023,1
65,65,8193,9993,1024,1
66,66,9993,9994,1025,1
67,67,9994,9995,2047,1
68,68,9995,9996,2048,1
69,69,9996,9997,2049,1
123,123,9997,9998,4095,1
124,124,9998,9999,4096,1
125,125,9999,10000,4097,1
126,126,10000,10001,8191,1
127,127,10001,10002,8192,1
128,128,10002,10003,8193,1
129,129,10003,10004,16383,1
130,130,10004,16383,16384,1
131,131,16383,16384,16385,1
132,132,16384,16385,32767,1
133,133,16385,32767,32768,1
251,251,32767,32768,32769,1
252,252,32768,32769,65471,1
253,253,32769,65471,65472,1
254,254,65471,65472,65473,1
255,255,65472,65473,65503,1
0,0,65473,65503,65504,1
1,2,65503,65504,65505,1
2,3,65504,65505,65519,1
3,4,65505,65519,65520,1
4,5,65519,65520,65521,1
5,6,65520,65521,65527,1
6,7,65521,65527,65528,1
7,8,65527,65528,65529,1
8,9,65528,65529,65530,1
9,10,65529,65530,65531,1
10,11,65530,65531,65532,1
11,12,65531,65532,65533,1
12,13,65532,65533,65534,1
13,14,65533,65534,65535,1
14,15,65534,65535,0,1
15,16,65535,0,1,1
16,17,0,2,3,3
17,18,1,3,4,3
18,19,2,4,5,3
19,20,3,5,7,3
20,21,4,7,8,3
21,27,5,8,9,3
27,28,7,9,15,3
28,29,8,15,16,3
29,30,9,16,17,3
30,31,15,17,31,3
31,32,16,31,32,3
32,33,17,32,33,3
33,34,31,33,63,3
34,35,32,63,64,3
35,36,33,64,65,3
36,37,63,65,116,3
37,59,64,127,117,3
59,60,65,128,118,3
60,61,127,129,119,3
61,62,128,255,120,3
62,63,129,256,121,3
63,64,255,257,122,3
64,65,256,511,123,3
65,66,257,512,124,3
66,67,511,513,125,3
67,68,512,1023,126,3
68,69,513,1024,127,3
69,123,1023,1025,128,3
123,124,1024,2047,129,3
124,125,1025,2048,255,3
125,126,2047,2049,256,3
126,127,2048,4095,257,3
127,128,2049,4096,511,3
128,129,4095,4097,512,3
129,130,4096,8191,513,3
130,131,4097,8192,1023,3
131,132,8191,8193,1024,3
132,133,8192,9993,1025,3
133,251,8193,9994,2047,3
251,252,9993,9995,2048,3
252,253,9994,9996,2049,3
253,254,9995,9997,4095,3
254,255,9996,9998,4096,3
255,0,9997,9999,4097,3
0,1,9998,10000,8191,3
1,3,9999,10001,8192,3
2,4,10000,10002,8193,3
3,5,10001,10003,16383,3
4,6,10002,10004,16384,3
5,7,10003,16383,16385,3
6,8,10004,16384,32767,3
7,9,16383,16385,32768,3
8,10,16384,32767,32769,3
9,11,16385,32768,65471,3
10,12,32767,32769,65472,3
11,13,32768,65471,65473,3
12,14,32769,65472,65503,3
13,15,65471,65473,65504,3
14,16,65472,65503,65505,3
15,17,65473,65504,65519,3
16,18,65503,65505,65520,3
17,2,65504,65519,65521,3
18,20,65505,65520,65527,3
19,21,65519,65521,65528,3
20,27,65520,65527,65529,3
21,28,65521,65528,65530,3
27,29,65527,65529,65531,3
28,30,65528,65530,65532,3
29,31,65529,65531,65533,3
30,32,65530,65532,65534,3
31,33,65531,65533,65535,3
32,34,65532,65534,0,3
33,35,65533,65535,2,3
34,36,65534,0,3,3
