# ACTS Test Suite Generation: Wed Mar 18 20:43:59 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 5
# Maximum number of values per parameter: 75
# Number of configurations: 5667
Byte_count,Reference_Type,File_number,Record_number,Record_length
1,1,0,0,1
2,2,0,1,2
3,3,0,2,3
4,4,0,3,4
5,5,0,4,5
6,6,0,5,7
7,7,0,7,8
8,8,0,8,9
9,9,0,9,15
10,10,0,15,16
11,11,0,16,17
12,12,0,17,31
13,13,0,31,32
14,14,0,32,33
15,15,0,33,63
16,16,0,63,64
17,17,0,64,65
18,18,0,65,116
19,19,0,127,117
20,20,0,128,118
21,21,0,129,119
27,27,0,255,120
28,28,0,256,121
29,29,0,257,122
30,30,0,511,123
31,31,0,512,124
32,32,0,513,125
33,33,0,1023,126
34,34,0,1024,127
35,35,0,1025,128
36,36,0,2047,129
37,37,0,2048,255
59,59,0,2049,256
60,60,0,4095,257
61,61,0,4096,511
62,62,0,4097,512
63,63,0,8191,513
64,64,0,8192,1023
65,65,0,8193,1024
66,66,0,9993,1025
67,67,0,9994,2047
68,68,0,9995,2048
69,69,0,9996,2049
123,123,0,9997,4095
124,124,0,9998,4096
125,125,0,9999,4097
126,126,0,10000,8191
127,127,0,10001,8192
128,128,0,10002,8193
129,129,0,10003,16383
130,130,0,10004,16384
131,131,0,16383,16385
132,132,0,16384,32767
133,133,0,16385,32768
251,251,0,32767,32769
252,252,0,32768,65471
253,253,0,32769,65472
254,254,0,65471,65473
255,255,0,65472,65503
0,0,0,65473,65504
1,2,0,65503,65505
2,3,0,65504,65519
3,4,0,65505,65520
4,5,0,65519,65521
5,6,0,65520,65527
6,7,0,65521,65528
7,8,0,65527,65529
8,9,0,65528,65530
9,10,0,65529,65531
10,11,0,65530,65532
11,12,0,65531,65533
12,13,0,65532,65534
13,14,0,65533,65535
14,15,0,65534,0
15,16,0,65535,1
16,17,1,0,2
17,18,1,1,3
18,19,1,2,4
19,20,1,3,5
20,21,1,4,7
21,27,1,5,8
27,28,1,7,9
28,29,1,8,15
29,30,1,9,16
30,31,1,15,17
31,32,1,16,31
32,33,1,17,32
33,34,1,31,33
34,35,1,32,63
35,36,1,33,64
36,37,1,63,65
37,59,1,64,116
59,60,1,65,117
60,61,1,127,118
61,62,1,128,119
62,63,1,129,120
63,64,1,255,121
64,65,1,256,122
65,66,1,257,123
66,67,1,511,124
67,68,1,512,125
68,69,1,513,126
69,123,1,1023,127
123,124,1,1024,128
124,125,1,1025,129
125,126,1,2047,255
126,127,1,2048,256
127,128,1,2049,257
128,129,1,4095,511
129,130,1,4096,512
130,131,1,4097,513
131,132,1,8191,1023
132,133,1,8192,1024
133,251,1,8193,1025
251,252,1,9993,2047
252,253,1,9994,2048
253,254,1,9995,2049
254,255,1,9996,4095
255,0,1,9997,4096
0,1,1,9998,4097
1,3,1,9999,8191
2,4,1,10000,8192
3,5,1,10001,8193
4,6,1,10002,16383
5,7,1,10003,16384
6,8,1,10004,16385
7,9,1,16383,32767
8,10,1,16384,32768
9,11,1,16385,32769
10,12,1,32767,65471
11,13,1,32768,65472
12,14,1,32769,65473
13,15,1,65471,65503
14,16,1,65472,65504
15,17,1,65473,65505
16,18,1,65503,65519
17,2,1,65504,65520
18,20,1,65505,65521
19,21,1,65519,65527
20,27,1,65520,65528
21,28,1,65521,65529
27,29,1,65527,65530
28,30,1,65528,65531
29,31,1,65529,65532
30,32,1,65530,65533
31,33,1,65531,65534
32,34,1,65532,65535
33,35,1,65533,0
34,36,1,65534,1
35,37,1,65535,2
36,59,2,0,3
37,60,2,1,4
59,61,2,2,5
60,62,2,3,7
61,63,2,4,8
62,64,2,5,9
63,65,2,7,15
64,66,2,8,16
65,67,2,9,17
66,68,2,15,31
67,69,2,16,32
68,123,2,17,33
69,124,2,31,63
123,125,2,32,64
124,126,2,33,65
125,127,2,63,116
126,128,2,64,117
127,129,2,65,118
128,130,2,127,119
129,131,2,128,120
130,132,2,129,121
131,133,2,255,122
132,251,2,256,123
133,252,2,257,124
251,253,2,511,125
252,254,2,512,126
253,255,2,513,127
254,0,2,1023,128
255,1,2,1024,129
0,19,2,1025,255
1,20,2,2047,256
2,21,2,2048,257
3,27,2,2049,511
4,28,2,4095,512
5,29,2,4096,513
6,30,2,4097,1023
7,31,2,8191,1024
8,32,2,8192,1025
9,33,2,8193,2047
10,34,2,9993,2048
11,35,2,9994,2049
12,36,2,9995,4095
13,37,2,9996,4096
14,2,2,9997,4097
15,4,2,9998,8191
16,5,2,9999,8192
17,6,2,10000,8193
18,7,2,10001,16383
19,8,2,10002,16384
20,9,2,10003,16385
21,10,2,10004,32767
27,11,2,16383,32768
28,12,2,16384,32769
29,13,2,16385,65471
30,14,2,32767,65472
31,15,2,32768,65473
32,16,2,32769,65503
33,17,2,65471,65504
34,18,2,65472,65505
35,19,2,65473,65519
36,3,2,65503,65520
37,61,2,65504,65521
59,62,2,65505,65527
60,63,2,65519,65528
61,64,2,65520,65529
62,65,2,65521,65530
63,66,2,65527,65531
64,67,2,65528,65532
65,68,2,65529,65533
66,69,2,65530,65534
67,123,2,65531,65535
68,124,2,65532,0
69,125,2,65533,1
123,126,2,65534,2
124,127,2,65535,3
125,128,3,0,4
126,129,3,1,5
127,130,3,2,7
128,131,3,3,8
129,132,3,4,9
130,133,3,5,15
131,251,3,7,16
132,252,3,8,17
133,253,3,9,31
251,254,3,15,32
252,255,3,16,33
253,0,3,17,63
254,1,3,31,64
255,59,3,32,65
0,60,3,33,116
1,61,3,63,117
2,62,3,64,118
3,63,3,65,119
4,64,3,127,120
5,65,3,128,121
6,66,3,129,122
7,67,3,255,123
8,68,3,256,124
9,69,3,257,125
10,123,3,511,126
11,124,3,512,127
12,125,3,513,128
13,126,3,1023,129
14,127,3,1024,255
15,2,3,1025,256
16,3,3,2047,257
17,4,3,2048,511
18,5,3,2049,512
19,6,3,4095,513
20,7,3,4096,1023
21,8,3,4097,1024
27,9,3,8191,1025
28,10,3,8192,2047
29,11,3,8193,2048
30,12,3,9993,2049
31,13,3,9994,4095
32,14,3,9995,4096
33,15,3,9996,4097
34,16,3,9997,8191
35,17,3,9998,8192
36,18,3,9999,8193
37,19,3,10000,16383
59,20,3,10001,16384
60,21,3,10002,16385
61,27,3,10003,32767
62,28,3,10004,32768
63,29,3,16383,32769
64,30,3,16384,65471
65,31,3,16385,65472
66,32,3,32767,65473
67,33,3,32768,65503
68,34,3,32769,65504
69,35,3,65471,65505
123,36,3,65472,65519
124,37,3,65473,65520
125,59,3,65503,65521
126,60,3,65504,65527
127,131,3,65505,65528
128,132,3,65519,65529
129,133,3,65520,65530
130,251,3,65521,65531
131,252,3,65527,65532
132,253,3,65528,65533
133,254,3,65529,65534
251,255,3,65530,65535
252,0,3,65531,0
253,128,3,65532,1
254,129,3,65533,2
255,130,3,65534,3
0,131,3,65535,4
2,132,4,0,5
3,1,4,1,7
4,2,4,2,8
5,3,4,3,9
6,4,4,4,15
7,5,4,5,16
8,6,4,7,17
9,7,4,8,31
10,8,4,9,32
11,9,4,15,33
12,10,4,16,63
13,11,4,17,64
14,12,4,31,65
15,13,4,32,116
16,14,4,33,117
17,15,4,63,118
18,16,4,64,119
19,17,4,65,120
20,18,4,127,121
21,19,4,128,122
27,20,4,129,123
28,21,4,255,124
29,27,4,256,125
30,28,4,257,126
31,29,4,511,127
32,30,4,512,128
33,31,4,513,129
34,32,4,1023,255
35,33,4,1024,256
36,34,4,1025,257
37,35,4,2047,511
59,36,4,2048,512
60,37,4,2049,513
61,59,4,4095,1023
62,60,4,4096,1024
63,61,4,4097,1025
64,62,4,8191,2047
65,63,4,8192,2048
66,64,4,8193,2049
67,65,4,9993,4095
68,66,4,9994,4096
69,67,4,9995,4097
123,68,4,9996,8191
124,69,4,9997,8192
125,123,4,9998,8193
126,124,4,9999,16383
127,125,4,10000,16384
128,126,4,10001,16385
129,127,4,10002,32767
130,128,4,10003,32768
131,129,4,10004,32769
132,130,4,16383,65471
133,255,4,16384,65472
251,0,4,16385,65473
252,133,4,32767,65503
253,251,4,32768,65504
254,252,4,32769,65505
255,253,4,65471,65519
0,254,4,65472,65520
1,131,4,65473,65521
2,1,4,65503,65527
3,6,4,65504,65528
4,7,4,65505,65529
5,8,4,65519,65530
6,9,4,65520,65531
7,10,4,65521,65532
8,11,4,65527,65533
9,12,4,65528,65534
10,13,4,65529,65535
11,14,4,65530,0
12,15,4,65531,1
13,16,4,65532,2
14,17,4,65533,3
15,18,4,65534,4
16,19,4,65535,5
17,20,5,0,7
18,21,5,1,8
19,27,5,2,9
20,28,5,3,15
21,29,5,4,16
27,30,5,5,17
28,31,5,7,31
29,32,5,8,32
30,33,5,9,33
31,34,5,15,63
32,35,5,16,64
33,36,5,17,65
34,37,5,31,116
35,62,5,32,117
36,63,5,33,118
37,64,5,63,119
59,65,5,64,120
60,66,5,65,121
61,67,5,127,122
62,68,5,128,123
63,69,5,129,124
64,123,5,255,125
65,124,5,256,126
66,125,5,257,127
67,126,5,511,128
68,127,5,512,129
69,128,5,513,255
123,129,5,1023,256
124,130,5,1024,257
125,132,5,1025,511
126,133,5,2047,512
127,251,5,2048,513
128,252,5,2049,1023
129,253,5,4095,1024
130,254,5,4096,1025
131,255,5,4097,2047
132,0,5,8191,2048
133,1,5,8192,2049
251,2,5,8193,4095
252,3,5,9993,4096
253,4,5,9994,4097
254,5,5,9995,8191
255,60,5,9996,8192
0,61,5,9997,8193
1,59,5,9998,16383
2,131,5,9999,16384
3,7,5,10000,16385
4,8,5,10001,32767
5,9,5,10002,32768
6,10,5,10003,32769
7,11,5,10004,65471
8,12,5,16383,65472
9,13,5,16384,65473
10,14,5,16385,65503
