# ACTS Test Suite Generation: Wed Mar 18 21:01:10 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 183
# Number of configurations: 15752
quan,byte_count,num_value
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
59,59,1
60,60,1
61,61,1
62,62,1
63,63,1
64,64,1
65,65,1
66,66,1
67,67,1
68,68,1
69,69,1
111,123,1
112,124,1
113,125,1
114,126,1
115,127,1
116,128,1
117,129,1
118,130,1
119,131,1
120,132,1
121,133,1
122,251,1
123,252,1
124,253,1
125,254,1
126,255,1
127,0,1
128,1,1
129,2,1
130,3,1
131,4,1
132,5,1
133,6,1
134,7,1
251,8,1
252,9,1
253,10,1
254,11,1
255,12,1
256,13,1
257,14,1
258,15,1
259,16,1
260,17,1
261,18,1
507,19,1
508,20,1
509,21,1
510,27,1
511,28,1
512,29,1
513,30,1
514,31,1
515,32,1
516,33,1
517,34,1
1019,35,1
1020,36,1
1021,37,1
1022,59,1
1023,60,1
1024,61,1
1025,62,1
1026,63,1
1027,64,1
1028,65,1
1029,66,1
2043,67,1
2044,68,1
2045,69,1
2046,123,1
2047,124,1
2048,125,1
2049,126,1
2050,127,1
2051,128,1
2052,129,1
2053,130,1
4091,131,1
4092,132,1
4093,133,1
4094,251,1
4095,252,1
4096,253,1
4097,254,1
4098,255,1
4099,0,1
4100,1,1
4101,2,1
5000,3,1
8187,4,1
8188,5,1
8189,6,1
8190,7,1
8191,8,1
8192,9,1
8193,10,1
8194,11,1
8195,12,1
8196,13,1
8197,14,1
10000,15,1
16379,16,1
16380,17,1
16381,18,1
16382,19,1
16383,20,1
16384,21,1
16385,27,1
16386,28,1
16387,29,1
16388,30,1
16389,31,1
20000,32,1
32763,33,1
32764,34,1
32765,35,1
32766,36,1
32767,37,1
32768,59,1
32769,60,1
32770,61,1
32771,62,1
32772,63,1
32773,64,1
65530,65,1
65531,66,1
65532,67,1
65533,68,1
65534,69,1
65535,123,1
1,124,3
2,125,3
3,126,3
4,127,3
5,128,3
6,129,3
7,130,3
8,131,3
9,132,3
10,133,3
11,251,3
12,252,3
13,253,3
14,254,3
15,255,3
16,0,3
17,1,3
18,2,3
19,3,3
20,4,3
21,5,3
27,6,3
28,7,3
29,8,3
30,9,3
31,10,3
32,11,3
33,12,3
34,13,3
35,14,3
36,15,3
37,16,3
59,17,3
60,18,3
61,19,3
62,20,3
63,21,3
64,27,3
65,28,3
66,29,3
67,30,3
68,31,3
69,32,3
111,33,3
112,34,3
113,35,3
114,36,3
115,37,3
116,59,3
117,60,3
118,61,3
119,62,3
120,63,3
121,64,3
122,65,3
123,66,3
124,67,3
125,68,3
126,69,3
127,123,3
128,124,3
129,125,3
130,126,3
131,127,3
132,128,3
133,129,3
134,130,3
251,131,3
252,132,3
253,133,3
254,251,3
255,252,3
256,253,3
257,254,3
258,255,3
259,0,3
260,1,3
261,2,3
507,3,3
508,4,3
509,5,3
510,6,3
511,7,3
512,8,3
513,9,3
514,10,3
515,11,3
516,12,3
517,13,3
1019,14,3
1020,15,3
1021,16,3
1022,17,3
1023,18,3
1024,19,3
1025,20,3
1026,21,3
1027,27,3
1028,28,3
1029,29,3
2043,30,3
2044,31,3
2045,32,3
2046,33,3
2047,34,3
2048,35,3
2049,36,3
2050,37,3
2051,59,3
2052,60,3
2053,61,3
4091,62,3
4092,63,3
4093,64,3
4094,65,3
4095,66,3
4096,67,3
4097,68,3
4098,69,3
4099,123,3
4100,124,3
4101,125,3
5000,126,3
8187,127,3
8188,128,3
8189,129,3
8190,130,3
8191,131,3
8192,132,3
8193,133,3
8194,251,3
8195,252,3
8196,253,3
8197,254,3
10000,255,3
16379,0,3
16380,1,3
16381,2,3
16382,3,3
16383,4,3
16384,5,3
16385,6,3
16386,7,3
16387,8,3
16388,9,3
16389,10,3
20000,11,3
32763,12,3
32764,13,3
32765,14,3
32766,15,3
32767,16,3
32768,17,3
32769,18,3
32770,19,3
32771,20,3
32772,21,3
32773,27,3
65530,28,3
65531,29,3
65532,30,3
65533,31,3
65534,32,3
65535,33,3
1,34,5
2,35,5
3,36,5
4,37,5
5,59,5
6,60,5
7,61,5
8,62,5
9,63,5
10,64,5
11,65,5
12,66,5
13,67,5
14,68,5
15,69,5
16,123,5
17,124,5
18,125,5
19,126,5
20,127,5
21,128,5
27,129,5
28,130,5
29,131,5
30,132,5
31,133,5
32,251,5
33,252,5
34,253,5
35,254,5
36,255,5
37,0,5
59,1,5
