# ACTS Test Suite Generation: Wed Mar 18 21:14:49 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 165
# Number of configurations: 14202
quan_write,byte_count,num_value
0,1,1
0,2,3
0,3,5
0,4,7
0,5,9
0,6,11
0,7,13
0,8,15
0,9,17
0,10,19
0,11,21
0,12,27
0,13,29
0,14,31
0,15,33
0,16,35
0,17,37
0,18,59
0,19,61
0,20,63
0,21,65
0,27,67
0,28,69
0,29,111
0,30,113
0,31,115
0,32,117
0,33,119
0,34,121
0,35,123
0,36,125
0,37,127
0,59,129
0,60,131
0,61,133
0,62,251
0,63,253
0,64,255
0,65,257
0,66,259
0,67,261
0,68,507
0,69,509
0,123,511
0,124,513
0,125,515
0,126,517
0,127,1019
0,128,1021
0,129,1023
0,130,1025
0,131,1027
0,132,1029
0,133,2043
0,251,2045
0,252,2047
0,253,2049
0,254,2051
0,255,2053
0,1,4091
0,2,4093
0,3,4095
0,4,4097
0,5,4099
0,6,4101
0,7,8187
0,8,8189
0,9,8191
0,10,8193
0,11,8195
0,12,8197
0,13,16379
0,14,16381
0,15,16383
0,16,16385
0,17,16387
0,18,16389
0,19,32763
0,20,32765
0,21,32767
0,27,32769
0,28,32771
0,29,32773
0,30,65531
0,31,65533
0,32,65535
1,0,1
1,33,3
1,34,5
1,35,7
1,36,9
1,37,11
1,59,13
1,60,15
1,61,17
1,62,19
1,63,21
1,64,27
1,65,29
1,66,31
1,67,33
1,68,35
1,69,37
1,123,59
1,124,61
1,125,63
1,126,65
1,127,67
1,128,69
1,129,111
1,130,113
1,131,115
1,132,117
1,133,119
1,251,121
1,252,123
1,253,125
1,254,127
1,255,129
1,1,131
1,3,133
1,4,251
1,5,253
1,6,255
1,7,257
1,8,259
1,9,261
1,10,507
1,11,509
1,12,511
1,13,513
1,14,515
1,15,517
1,16,1019
1,17,1021
1,18,1023
1,19,1025
1,20,1027
1,21,1029
1,27,2043
1,28,2045
1,29,2047
1,30,2049
1,31,2051
1,32,2053
1,0,4091
1,33,4093
1,34,4095
1,35,4097
1,36,4099
1,37,4101
1,59,8187
1,60,8189
1,61,8191
1,62,8193
1,63,8195
1,64,8197
1,65,16379
1,66,16381
1,67,16383
1,68,16385
1,69,16387
1,123,16389
1,124,32763
1,125,32765
1,126,32767
1,127,32769
1,128,32771
1,129,32773
1,130,65531
1,131,65533
1,132,65535
2,133,1
2,251,3
2,252,5
2,253,7
2,254,9
2,255,11
2,0,13
2,2,15
2,3,17
2,5,19
2,6,21
2,7,27
2,8,29
2,9,31
2,10,33
2,11,35
2,12,37
2,13,59
2,14,61
2,15,63
2,16,65
2,17,67
2,18,69
2,19,111
2,20,113
2,21,115
2,27,117
2,28,119
2,29,121
2,30,123
2,31,125
2,32,127
2,33,129
2,34,131
2,35,133
2,36,251
2,37,253
2,59,255
2,60,257
2,61,259
2,62,261
2,63,507
2,64,509
2,65,511
2,66,513
2,67,515
2,68,517
2,69,1019
2,123,1021
2,124,1023
2,125,1025
2,126,1027
2,127,1029
2,128,2043
2,129,2045
2,130,2047
2,131,2049
2,132,2051
2,1,2053
2,2,4091
2,133,4093
2,251,4095
2,252,4097
2,253,4099
2,254,4101
2,255,8187
2,0,8189
2,1,8191
2,2,8193
2,3,8195
2,5,8197
2,6,16379
2,7,16381
2,8,16383
2,9,16385
2,10,16387
2,11,16389
2,12,32763
2,13,32765
2,14,32767
2,15,32769
2,16,32771
2,17,32773
2,18,65531
2,19,65533
2,20,65535
3,4,1
3,21,3
3,27,5
3,28,7
3,29,9
3,30,11
3,31,13
3,32,15
3,33,17
3,34,19
3,35,21
3,36,27
3,37,29
3,59,31
3,60,33
3,61,35
3,62,37
3,63,59
3,64,61
3,65,63
3,66,65
3,67,67
3,68,69
3,69,111
3,123,113
3,124,115
3,125,117
3,126,119
3,127,121
3,128,123
3,129,125
3,130,127
3,131,129
3,132,131
3,133,133
3,251,251
3,252,253
3,253,255
3,254,257
3,255,259
3,0,261
3,1,507
3,2,509
3,3,511
3,5,513
3,7,515
3,8,517
3,9,1019
3,10,1021
3,11,1023
3,12,1025
3,13,1027
3,14,1029
3,15,2043
3,16,2045
3,17,2047
3,18,2049
3,19,2051
3,20,2053
3,4,4091
3,21,4093
3,27,4095
3,28,4097
3,29,4099
3,30,4101
3,31,8187
3,32,8189
3,33,8191
3,34,8193
3,35,8195
3,36,8197
3,37,16379
3,59,16381
3,60,16383
3,61,16385
3,62,16387
3,63,16389
3,64,32763
3,65,32765
3,66,32767
3,67,32769
3,68,32771
3,69,32773
3,123,65531
3,124,65533
3,125,65535
4,126,1
4,127,3
4,128,5
4,129,7
4,130,9
4,131,11
4,132,13
4,133,15
4,251,17
4,252,19
4,253,21
4,254,27
4,255,29
4,0,31
4,4,33
4,6,35
4,7,37
4,9,59
4,10,61
4,11,63
4,12,65
4,13,67
4,14,69
4,15,111
4,16,113
4,17,115
4,18,117
4,19,119
4,20,121
4,21,123
4,27,125
4,28,127
4,29,129
4,30,131
4,31,133
4,32,251
4,33,253
4,34,255
4,35,257
4,36,259
4,37,261
4,59,507
4,60,509
4,61,511
4,62,513
4,63,515
4,64,517
4,65,1019
4,66,1021
4,67,1023
4,68,1025
4,69,1027
4,123,1029
4,124,2043
4,125,2045
4,1,2047
4,2,2049
4,3,2051
4,5,2053
4,6,4091
4,126,4093
4,127,4095
4,128,4097
4,129,4099
4,130,4101
4,131,8187
4,132,8189
4,133,8191
4,251,8193
4,252,8195
4,253,8197
4,254,16379
4,255,16381
4,0,16383
4,4,16385
4,5,16387
4,6,16389
4,7,32763
4,9,32765
4,10,32767
4,11,32769
4,12,32771
4,13,32773
4,14,65531
4,15,65533
4,16,65535
5,8,1
5,17,3
5,18,5
5,19,7
5,20,9
5,21,11
5,27,13
5,28,15
5,29,17
5,30,19
5,31,21
5,32,27
5,33,29
5,34,31
5,35,33
5,36,35
5,37,37
5,59,59
5,60,61
5,61,63
5,62,65
