# ACTS Test Suite Generation: Sat Sep 26 20:39:43 EEST 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 4
# Maximum number of values per parameter: 173
# Number of configurations: 21815
mbap_transaction,mbap_protocol,mbap_len,mbap_slave
0,0,1,1
0,1,2,2
0,2,3,3
0,3,4,4
0,4,5,5
0,5,6,6
0,6,7,7
0,7,8,8
0,8,9,9
0,9,10,10
0,10,11,11
0,31,12,12
0,32,13,13
0,33,14,14
0,34,15,15
0,61,16,16
0,62,32,17
0,63,64,18
0,64,124,19
0,65,125,20
0,66,126,21
0,67,127,27
0,68,128,28
0,69,129,29
0,125,251,30
0,126,252,31
0,127,253,32
0,128,254,33
0,129,255,34
0,130,256,35
0,131,257,36
0,251,258,37
0,252,259,59
0,253,260,60
0,254,261,61
0,255,262,62
0,256,263,63
0,257,264,64
0,258,265,65
0,259,1021,66
0,260,1022,67
0,261,1023,68
0,507,1024,69
0,508,1025,123
0,509,1026,124
0,510,1027,125
0,511,1458,126
0,512,1459,127
0,513,1460,128
0,514,1461,129
0,515,1462,130
0,516,2045,131
0,517,2046,132
0,1019,2047,133
0,1021,2048,251
0,1022,2049,252
0,1023,2050,253
0,1024,2051,254
0,1025,2052,255
0,1026,4092,0
0,1027,4093,1
0,1028,4094,2
0,1029,4095,3
0,2041,4096,4
0,2042,4097,5
0,2043,4098,6
0,2044,4099,7
0,2045,8190,8
0,2046,8191,9
0,2047,8192,10
0,2048,8193,11
0,2049,8194,12
0,2050,8195,13
0,2051,32764,14
0,2052,32765,15
0,4091,32766,16
0,4092,32767,17
0,4093,32768,18
0,4094,32769,19
0,4095,32770,20
0,4096,32771,21
0,4097,32772,27
0,4098,32773,28
0,4099,65530,29
0,4100,65531,30
0,4101,65532,31
0,8187,65533,32
0,8188,65534,33
0,8189,65535,34
0,8190,0,35
0,8191,1,36
0,8192,2,37
0,8193,3,59
0,8194,4,60
0,8195,5,61
0,8196,6,62
0,8197,7,63
0,16379,8,64
0,16380,9,65
0,16381,10,66
0,16382,11,67
0,16383,12,68
0,16384,13,69
0,16385,14,123
0,16386,15,124
0,16387,16,125
0,16388,32,126
0,16389,64,127
0,32763,124,128
0,32764,125,129
0,32765,126,130
0,32766,127,131
0,32767,128,132
0,32768,129,133
0,32769,251,251
0,32770,252,252
0,32771,253,253
0,32772,254,254
0,32773,255,255
0,65280,256,0
0,65530,257,1
0,65531,258,2
0,65532,259,3
0,65533,260,4
0,65534,261,5
0,65535,262,6
1,0,263,7
1,1,264,8
1,2,265,9
1,3,1021,10
1,4,1022,11
1,5,1023,12
1,6,1024,13
1,7,1025,14
1,8,1026,15
1,9,1027,16
1,10,1458,17
1,31,1459,18
1,32,1460,19
1,33,1461,20
1,34,1462,21
1,61,2045,27
1,62,2046,28
1,63,2047,29
1,64,2048,30
1,65,2049,31
1,66,2050,32
1,67,2051,33
1,68,2052,34
1,69,4092,35
1,125,4093,36
1,126,4094,37
1,127,4095,59
1,128,4096,60
1,129,4097,61
1,130,4098,62
1,131,4099,63
1,251,8190,64
1,252,8191,65
1,253,8192,66
1,254,8193,67
1,255,8194,68
1,256,8195,69
1,257,32764,123
1,258,32765,124
1,259,32766,125
1,260,32767,126
1,261,32768,127
1,507,32769,128
1,508,32770,129
1,509,32771,130
1,510,32772,131
1,511,32773,132
1,512,65530,133
1,513,65531,251
1,514,65532,252
1,515,65533,253
1,516,65534,254
1,517,65535,255
1,1019,0,0
1,1021,1,2
1,1022,2,3
1,1023,3,4
1,1024,4,5
1,1025,5,6
1,1026,6,1
1,1027,7,8
1,1028,8,9
1,1029,9,10
1,2041,10,11
1,2042,11,12
1,2043,12,13
1,2044,13,14
1,2045,14,15
1,2046,15,16
1,2047,16,17
1,2048,32,18
1,2049,64,19
1,2050,124,20
1,2051,125,21
1,2052,126,27
1,4091,127,28
1,4092,128,29
1,4093,129,30
1,4094,251,31
1,4095,252,32
1,4096,253,33
1,4097,254,34
1,4098,255,35
1,4099,256,36
1,4100,257,37
1,4101,258,59
1,8187,259,60
1,8188,260,61
1,8189,261,62
1,8190,262,63
1,8191,263,64
1,8192,264,65
1,8193,265,66
1,8194,1021,67
1,8195,1022,68
1,8196,1023,69
1,8197,1024,123
1,16379,1025,124
1,16380,1026,125
1,16381,1027,126
1,16382,1458,127
