FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
7	1	999	2047	8191	4095
8	2	1000	2048	8192	4096
11	3	1008	2560	8704	4608
12	4	1024	3072	8960	5120
17	5	1536	3584	9088	5632
20	6	2048	4096	9152	6144
21	7	2560	4608	9184	6656
	8	3072	5120	9188	7168
	11	3584	5632	9190	7680
	12	4096	6144		8192
	15	4608	6656		8704
	16	5120	7168		9216
	17	5632	7680		9728
	20	6144	8192		10240
	21	6656	8704		10752
	22	7168	9216		11264
	23	7680	9728		11776
	24	8192	9984		12288
	43	8704	10112		12800
		9216	10176		13312
		9728	10208		13824
		10240	10224		14336
		10752	10232		14848
		11264	10236		15360
		11776			15872
		12288			16384
		12800			16896
		13312			17408
		13824			17920
		14336			18432
		14848			18944
		15360			19456
		15872			19968
		16384			20032
		16896			20064
		17408			20080
		17920			20088
		18432			20092
		18944			20094
		19456			
		19968			
		20480			
		20992			
		21504			
		22016			
		22528			
		23040			
		23552			
		24064			
		24576			
		25088			
		25600			
		26112			
		26624			
		27136			
		27648			
		28160			
		28672			
		29184			
		29696			
		30208			
		30720			
		31232			
		31744			
		32256			
		32768			
		33280			
		33792			
		34304			
		34816			
		35328			
		35840			
		36352			
		36864			
		37376			
		37888			
		38400			
		38912			
		39424			
		39936			
		40448			
		40960			
		41472			
		41984			
		42496			
		43008			
		43520			
		44032			
		44544			
		45056			
		45568			
		46080			
		46592			
		47104			
		47616			
		48128			
		48640			
		48896			
		48960			
		48992			
		48996			
		48998			
