FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	1024	1024	1024	1024
4	4	1536	1536	1536	1536
6	5	2048	2048	2048	2048
17	6	2560	2560	2560	2560
	7	3072	3072	3072	3072
	15	3584	3584	3584	3584
	16	4096	4096	4096	4096
	22	4608	4608	4608	4608
	23	5120	5120	5120	5120
		5632	5632	5632	5632
		6144	6144	6144	6144
		6656	6656	6656	6656
		7168	7168	7168	7168
		7680	7680	7680	7680
		8192	8192	8192	7936
		8704	8704	8704	7968
		9216	9216	9216	7984
		9728	9728	9728	7992
		10240	10240	10240	7996
		10752	10752	10752	7998
		11264	11264	11264	7999
		11776	11776	11776	
		12288	12288	12288	
		12800	12800	12800	
		13312	13312	13312	
		13824	13824	13824	
		14336	14336	14336	
		14848	14848	14848	
		15360	15360	15360	
		15872	15872	15872	
		16384	16384	15936	
		16896	16896	15968	
		17408	17408	15984	
		17920	17920	15992	
		18432	18432	15996	
		18944	18944	15998	
		19456	19456	15999	
		19968	19968		
		20480	20480		
		20992	20992		
		21504	21504		
		22016	22016		
		22528	22528		
		23040	23040		
		23552	23552		
		24064	24064		
		24576	24576		
		25088	25088		
		25600	25600		
		26112	26112		
		26624	26624		
		27136	27136		
		27648	27648		
		28160	28160		
		28672	28672		
		29184	29184		
		29696	29696		
		30208	30208		
		30720	30720		
		31232	31232		
		31744	31744		
		32256	31872		
		32768	31936		
		33280	31968		
		33792	31984		
		34304	31992		
		34816	31996		
		35328	31998		
		35840	31999		
		36352			
		36864			
		37376			
		37888			
		38400			
		38912			
		39424			
		39936			
		40448			
		40960			
		41472			
		41984			
		42496			
		43008			
		43520			
		44032			
		44544			
		45056			
		45568			
		46080			
		46592			
		47104			
		47616			
		47872			
		47936			
		47968			
		47984			
		47992			
		47996			
		47998			
		47999			
