"Address 0x 	 Value READ_COILS"	
(1, 100)	bytearray(b'\x05\x12\x00\x00\x00\x10\x01\x01\r\x03\xfe\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(101, 200)	bytearray(b'\x05\x13\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(201, 300)	bytearray(b'\x05\x14\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(301, 400)	bytearray(b'\x05\x15\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(401, 500)	bytearray(b'\x05\x16\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(501, 600)	bytearray(b'\x05\x17\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(601, 700)	bytearray(b'\x05\x18\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(701, 800)	bytearray(b'\x05\x19\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(801, 900)	bytearray(b'\x05\x1a\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(901, 1000)	bytearray(b'\x05\x1b\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(1001, 1100)	bytearray(b'\x05\x1c\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(1101, 1200)	bytearray(b'\x05\x1d\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(1201, 1300)	bytearray(b'\x05\x1e\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(1301, 1400)	bytearray(b'\x05\x1f\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(1401, 1500)	bytearray(b'\x05 \x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(1501, 1600)	bytearray(b'\x05!\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
(1601, 1700)	"bytearray(b'\x05""\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')"
(1701, 1800)	bytearray(b'\x05#\x00\x00\x00\x10\x01\x01\r\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\x0f')
