FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	1024	1024	1024	1024
4	4	1536	1536	1536	1536
6	5	2048	1792	2048	2048
22	6	2560	1920	2560	2560
	15	3072	1984	3072	3072
	16	3584	2016	3584	3584
	22	4096	2032	3840	4096
	23	4608	2040	3968	4608
		5120	2044	4032	5120
		5632	2046	4064	5632
		6144	2047	4080	6144
		6656		4088	6656
		7168		4092	7168
		7680		4094	7680
		8192		4095	7936
		8704			8064
		9216			8128
		9728			8160
		9984			8176
		9992			8184
		9996			8188
		9998			8190
		9999			8191
