FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	1024	1024	768	1024
4	4	1536	1536	896	1536
5	5	2048	2048	960	2048
6	6	2560	2560	992	2560
7	7	3072	3072	996	3072
8	8	3584	3584	998	3584
11	11	4096	4096		4096
12	12	4608	4608		4608
17	15	5120	5120		5120
20	16	5632	5632		5632
21	17	6144	6144		6144
	20	6656	6656		6656
	21	7168	7168		7168
	22	7680	7680		7680
	23	8192	7936		8192
	24	8704	8064		8704
	43	9216	8128		9216
		9728	8160		9728
		10240	8176		10240
		10752	8184		10752
		11264	8188		11264
		11776			11776
		12288			12288
		12800			12800
		13312			13312
		13824			13824
		14336			14336
		14848			14848
		15360			15360
		15872			15872
		16384			15936
		16896			15968
		17408			15984
		17920			15992
		18432			15996
		18944			15998
		19456			
		19968			
		20480			
		20992			
		21504			
		22016			
		22528			
		23040			
		23552			
		24064			
		24576			
		25088			
		25600			
		26112			
		26624			
		27136			
		27648			
		28160			
		28672			
		29184			
		29696			
		30208			
		30720			
		31232			
		31744			
		32256			
		32768			
		33280			
		33792			
		34304			
		34816			
		35328			
		35840			
		36352			
		36864			
		37376			
		37888			
		38400			
		38912			
		39424			
		39936			
		40448			
		40960			
		41472			
		41984			
		42496			
		43008			
		43520			
		44032			
		44544			
		45056			
		45568			
		46080			
		46592			
		47104			
		47616			
		47872			
		47936			
		47968			
		47984			
		47992			
		47996			
		47998			
