FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	1024	1024	1024	1024
4	4	1536	1536	1536	1536
6	5	2048	2048	2048	2048
7	6	2560	2560	2560	2560
8	7	3072	3072	3072	3072
	8	3584	3584	3584	3584
	15	4096	4096	4096	4096
	16	4608	4608	4608	4608
	22	5120	5120	5120	5120
	23	5632	5632	5632	5632
		6144	6144	6144	6144
		6656	6656	6656	6656
		7168	7168	7168	7168
		7680	7680	7680	7680
		8192	8192	8192	8192
		8704	8704	8704	8704
		9216	9216	9216	9216
		9728	9728	9728	9728
		9984	9984	9984	9984
		10000	10000	10000	10000
		10002	10001	10002	10001
