FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	1024	1024	1024	1024
4	4	1536	1536	1536	1536
5	5	2048	2048	2048	2048
6	6	2560	2560	2560	2560
7	7	3072	3072	3072	3072
8	8	3584	3584	3584	3584
15	15	4096	4096	4096	4096
16	16	4608	4608	4608	4608
17	17	5120	5120	5120	5120
20	20	5632	5632	5632	5632
21	21	6144	6144	6144	6144
22	22	6656	6656	6656	6656
	23	7168	7168	7168	7168
		7680	7680	7680	7680
		8192	8192	8192	8192
		8704	8704	8704	8704
		9216	9216	9216	9216
		9728	9728	9728	9728
		9984	9984	9984	9984
		10000	9992	9992	10000
			9996	9996	
			9998	9998	
			9999	9999	
